id,magSource
mb90024428,14
av92000481,1
av92000476,8
ci40536176,10
ak023adri0xq,0
ci40536168,2
us7000kryh,13
ci40536160,9
hv73524082,4
ak023achvxhf,0
ak023achvdp2,0
hv73524062,2
ak023achr0h0,0
ak023achpcdo,0
ci40536152,9
av92000426,1
ci40536144,2
ak023achm4ys,0
av92000416,8
av92000411,1
ci40536128,2
hv73523932,2
ci40536136,2
us7000kqew,13
av92000391,8
us7000kryp,13
ak023ach7dne,0
nc73923816,6
ak023ach6r0b,0
hv73523857,4
nc73923811,6
ok2023puyq,6
tx2023puyp,12
nc73923806,2
tx2023puyo,2
nc73923796,10
ak023ach2dd1,0
us7000kryg,13
nc73923791,6
tx2023puyj,12
ak023ach0w22,9
ak023acgrizu,9
ak023acgraif,0
hv73523767,4
ci40536104,6
ak023acgpbie,4
nc73923781,10
us7000kqf0,13
av92000301,1
av92000286,1
nc73923776,6
us6000kzre,13
ak023acgg3q9,0
av92000266,1
av92000261,1
ci40536096,10
ci40536088,2
nn00864410,9
nc73923766,6
nc73923761,8
uu60547547,8
ak023acg01ta,0
ak023acg01b2,0
us6000kzr9,13
ak023acfwt9x,0
us7000kqes,13
ci40536080,9
ak023acfugeb,4
us6000kzr5,13
ak023acfi6pj,0
av92000236,1
nn00864414,10
us6000kzrb,13
tx2023putp,10
us7000krye,10
ak023acfg4mm,0
ak023acffodb,0
ak023acffntt,0
ak023acffi6s,13
ak023acfdq2f,0
ci40536072,10
ci40536064,2
ci40536056,10
nc73923731,15
ak023acfc27d,0
ci40536048,2
ak023acfbkrc,0
uw61941077,10
us7000kqhe,13
ak023acf9mgb,13
us6000kzqw,13
ci40536040,2
nn00864394,14
ak023acevxbn,0
us6000kzqv,13
av92000181,1
uw61941062,15
us7000kqeq,13
nc73923721,2
ak023acetjoy,0
ak023acet6m6,0
nc73923716,2
us7000kryd,13
us6000kzqp,13
ci40536024,8
uw61941057,8
hv73523407,4
ak023acenei9,0
hv73523397,4
ak023acedht8,0
ci40536000,9
ak023acecfup,0
ak023acec91m,0
ci40535992,2
nc73923706,2
ak023acebt2o,0
nc73923701,6
ak023ace9q7w,0
ak023ace9gtd,0
ak023ace9gnk,0
av92000116,1
ak023ace7pmh,0
ak023ace7kvz,0
av92000106,1
us6000kzr8,13
ak023ace4y9s,0
pr71421428,10
ak023acdsgz7,0
nc73923691,15
ak023acdr7su,0
ak023acdr6kq,0
ak023acdpom6,0
us7000kqev,13
ak023acdmrk0,0
ak023acdm95l,0
ci40535960,2
ak023acdkity,0
nc73923686,6
ci40535944,9
nc73923676,10
ci40535936,10
ak023acdgr2f,0
us6000kzqc,9
ak023acd78zp,0
nc73923671,10
ak023acd6nyu,9
ak023acd54fm,0
ak023acd31y8,0
ci40535920,2
us7000kqei,13
us7000kqej,13
ak023acd12ks,0
nc73923661,2
us6000kzq6,13
ci40535912,2
nc73923656,6
ci40535904,14
av92000006,1
ak023accuvft,0
us7000kr2h,13
us7000kr2g,10
ak023acchelt,0
av91999976,10
ak023acch3dx,0
ak023accfx8a,0
ak023accftwk,0
ak023accer7d,0
ak023accdqzg,0
ci40535856,9
ak023acccu2h,0
av91999936,1
ak023accbsmw,0
av91999926,1
ak023accajxq,0
hv73523142,4
uu60547537,14
ak023acc9e9g,0
hv73523132,9
hv73523127,4
nn00864393,8
av91999906,1
av91999896,1
ak023acbxej7,0
av91113183,1
av91999891,1
us6000kzpw,13
nn00864408,14
ak023acbtukq,0
av91999876,1
ak023acbrlcu,0
us6000kzpt,13
us6000kzpp,13
ak023acbeclb,0
us6000kzpn,13
ci40535832,2
ak023acbdq9f,0
ak023acbbtz9,13
nn00864433,10
av91999841,1
ak023acb9f13,0
ak023acb8tci,0
ak023acb6899,13
uw61940977,10
ak023acb5cm7,0
av91999811,1
us6000kzpj,13
ak023acb35w2,0
ak023acb35nd,0
av91999791,1
ak023acar8y1,0
ak023acaqrzu,0
ci40535824,9
ak023acanyeg,0
ak023acanto1,0
nc73923641,14
av91999771,1
nn00864407,10
ak023acam9nu,0
tx2023pude,12
ci40535816,12
ak023acaifu7,0
nn00864406,8
us6000kzr6,13
ak023aca449q,0
ak023aca2u09,0
ok2023pubm,9
ak023aca1o4f,0
tx2023pubh,12
av91999711,1
av91999706,1
us6000kzp2,13
av91999701,1
ak023ac9miq0,9
ci40535808,14
ci40535800,14
ci40535792,9
nc73923621,10
ak023ac9hbng,0
hv73522872,4
ak023ac9gvf5,0
nc73923611,6
ak023ac9g8jz,0
nc73923606,6
nn00864405,10
ak023ac9f54r,13
us6000kzny,13
nc73923601,2
us7000kr2b,13
hv73522852,1
nc73923596,6
ak023ac9blgp,4
nc73923591,10
av91999616,10
nn00864404,10
ak023ac8y1s1,0
nn00864403,8
hv73522817,4
ci40535784,10
av91999596,1
ak023ac8vf7g,0
ci40535776,9
ak023ac8t26l,4
nc73923586,10
nn00864402,10
us7000kqe9,13
ci40535768,9
us6000kznp,13
nn00864401,14
ok2023ptvx,9
ak023ac89f72,0
tx2023ptvi,2
nn00864400,10
hv73522722,4
ci40535760,2
nc73923581,2
uu60547532,14
hv73522707,4
av91999521,1
ak023ac7typt,0
ak023ac7tjy9,0
hv73522692,4
nn00864391,9
ak023ac7ppba,9
us6000kznj,13
hv73522677,4
us6000kzng,13
us6000kznf,13
uw61940967,10
uu60547527,14
ci40535752,2
nc73923571,2
ak023ac7kqhp,0
ci40535744,9
tx2023ptsn,12
tx2023ptsd,12
ci40535736,9
ak023ac74121,0
uw61940962,2
ak023ac72bah,0
ak023ac712n3,0
uu60547522,14
us6000kzn9,13
ak023ac70g0z,0
uu60547517,14
ci40535720,10
nn00864389,14
uu60547512,8
ci40535712,2
nc73923566,6
hv73522592,4
ci40535704,9
tx2023ptqg,12
hv73522577,4
nc73923556,2
ak023ac6cu4y,0
us6000kzmy,13
ak023ac61nk3,0
ak023ac6107u,9
nc73923551,6
nc73923546,6
uw61940947,2
ci40535696,2
av91999321,1
av91999316,1
nc73923541,6
uw61940937,8
ci40535680,9
ak023ac5rsby,0
ci40535672,9
nc73923536,6
nc73923531,15
us7000kqu3,10
uu60547507,10
av91999291,1
us7000kqe3,13
av91999286,1
av91999276,1
ak023ac5ccdh,0
nc73923521,2
nn00864398,10
nc73923516,6
ak023ac57xee,0
us7000kqe2,13
ak023ac55xbr,0
nn00864386,14
ci40535656,2
tx2023ptkr,2
nm60544561,2
uu60547502,8
ak023ac4td06,0
us7000kqu1,13
us6000kzml,13
nn00864432,10
av91999196,1
ak023ac4qqyg,0
us7000kqe1,13
nc73923506,10
us7000kqtz,13
us6000kzmj,13
av91999161,1
hv73522362,4
ci40535648,2
ak023ac47ue3,0
nc73923496,14
ak023ac464ko,0
ak023ac4648f,0
mb90024408,10
pr71421413,10
us6000kzmd,13
ci40535640,2
uw61940927,2
ci40535632,2
us6000kzmg,13
ci40535624,2
ci40535616,2
ak023ac3zj2x,0
ci40535608,10
nc73923471,6
ci40535592,2
nc73923461,6
us6000kzm9,13
nc73923456,10
ak023aaucm9a,0
ak023aaucfz9,0
ak023aauc5mg,0
us6000kzm7,13
us7000kp96,13
av91999091,1
nn00864497,8
ak023aau6uim,0
ak023aau6fw3,0
av91999071,1
nn00864385,9
us7000kp95,13
ak023aatrgct,0
us6000kzm4,13
ak023aatoobq,13
nn00864384,9
ak023aatl56j,0
ak023aatkihy,0
ak023aatjfev,0
ak023aatj24s,0
ak023aathcmw,0
nc73923436,6
ak023aat8j9v,0
ak023aat7qvr,9
hv73522007,4
us6000kzlz,13
av91999006,1
av91999001,1
av91113293,1
pr71421403,10
av91113288,1
av91113283,1
av91998986,1
uw61940902,8
nn00864495,14
ak023aat11nz,0
ak023aat00pp,0
uw61940897,10
ak023aasywso,0
nc73923421,6
us7000kp93,13
ak023aaswjiy,0
us7000kpzy,13
us6000kzlv,13
ak023aasjbhl,1
ci40535536,2
ak023aasiezy,0
av91113273,1
av91998946,1
av91113268,1
av91998936,1
ci40535528,2
nc73923416,10
pr71421398,10
ak023aasg0kn,13
us7000kp98,13
ak023aase567,0
ak023aase3k4,0
us7000kp91,13
av91113263,1
av91998921,1
us7000kp92,13
ak023aasccpu,0
uw61940887,10
av91113258,1
us7000kpzq,13
us7000kpzx,13
ak023aaryatr,0
uw61940872,10
av91998856,1
us7000kpzv,13
av91998846,1
ak023aarrtta,0
uw61940862,10
us7000kpzp,13
nn00864494,8
ak023aarq5o1,5
ak023aarq389,0
us7000kpzn,10
ak023aarfjw6,13
us7000kpzm,13
us6000kzlb,13
ci40535448,2
uu60547492,9
av91998751,1
hv73521557,4
ak023aarcciv,0
uu60547487,2
nc73923411,6
uu60547482,10
us6000kzl4,13
uu60547477,10
uu60547472,8
uu60547467,10
hv73521467,4
nc73923406,6
nc73923401,2
ci40535408,10
ak023aaqucb8,0
pr71421388,10
ak023aaqsqcw,0
nc73923396,6
hv73521382,4
us7000kp8z,13
ak023aaqo7lp,0
ak023aaqnceg,9
us6000kzks,13
mb90024363,10
hv73521317,4
ok2023pssr,9
ak023aaq7u7v,1
ci40535344,2
nn00864381,8
ci40535336,2
nc73923386,6
nc73923381,6
ak023aaq24ab,1
nn00864492,8
ci40535288,9
ak023aapm93q,0
ci40535280,2
ci40535264,2
nn00864491,8
nn00864488,8
nc73923371,6
ak023aapfubz,0
ok2023pspo,9
ak023aapflv6,0
ci40535256,10
nc73923366,2
us6000kzle,13
ak023aapeh51,0
hv73521182,4
mb90024358,12
nc73923361,10
ci40535248,10
ak023aapb9j1,0
nc73923356,2
nc73923351,10
ak023aap1tzu,0
ci40535232,10
ak023aap0ucx,0
ak023aap0ms1,0
ak023aap0bku,0
hv73521167,4
nc73923346,10
ak023aaozc5h,13
av91998376,1
ak023aaoymgr,0
us7000kr3f,13
ak023aaoxt4q,0
hv73521147,4
us7000kr3b,13
ak023aaotr93,0
ak023aaotjx2,4
nc73923336,6
ci40535192,9
us7000kr3a,13
ak023aaoq3jr,0
nn00864372,9
ak023aaoft8d,0
ak023aaoey0w,0
nn00864368,9
ci40535160,2
us6000kzjz,13
ci40535152,2
us6000kzjx,13
av91998286,1
av91998281,1
nc73923316,6
ci40535136,2
ak023aao4f23,0
nn00864487,8
ak023aans0kb,0
ok2023pske,14
ak023aanqykz,0
us7000kp8u,13
us6000kzjw,13
ak023aann3zy,0
ak023aann3v9,0
av91998241,1
mb90024348,1
ak023aanjhi7,0
nc73923311,6
ak023aanj60v,0
us7000kp8s,13
us7000kr39,13
ak023aan8x7r,0
ak023aan8hs2,0
ak023aan6tqz,0
nc73923301,6
nc73923296,2
nn00864380,10
ak023aan361v,0
ak023aan32x2,0
ak023aan2i16,0
mb90024343,2
hv73521007,4
nn00864378,1
nn00864377,10
tx2023pshd,12
ci40535104,2
uw61940762,2
us6000kzji,13
av91113238,1
nc73923286,6
av91998166,1
nn00864376,14
ak023aamiiyk,0
ak023aami5xd,0
uw61940752,8
us7000kr3c,13
ak023aamfzwj,0
ak023aamfrdi,0
hv73520972,4
nn00864486,8
av91998126,1
us6000kzja,12
ci40535096,2
ok2023psee,2
ak023aalx5jr,0
av91113233,1
av91998116,1
ak023aalurrl,0
ak023aalty17,0
ak023aalsft7,0
nc73923281,6
ak023aalqq6e,0
ak023aale9ec,0
uw61940747,15
us6000kzj5,13
us6000kzj4,13
nc73923276,9
nn00864375,8
ak023aala8g2,0
av91998096,4
ci40535088,2
av91113228,1
ak023aal7mht,0
nc73923271,2
av91998086,1
ci40535080,2
tx2023psaw,12
hv73520872,4
us6000kziz,13
pr71421373,10
ci40535072,2
ak023aakpmav,0
ak023aakpgr2,0
hv73520867,4
hv73520862,4
ak023aaknvrs,0
ak023aakmugr,0
ak023aakm8q2,0
us7000kr2x,13
pr2023224000,10
ak023aakad5a,0
ci40535056,2
ak023aak7tla,0
hv73520807,4
nn00864365,14
ak023aak529a,0
ak023aak453d,0
ci40535048,9
ak023aak3zuc,0
pr71421353,10
us6000kzih,13
ci40535040,2
ci37564620,2
ci40535032,10
nn00864438,8
nn00864364,14
nc73923261,6
ci40535024,9
tx2023prwq,12
us7000kr2w,10
nn00864374,8
ak023aajltem,0
ak023aajlieg,0
uu60547462,8
ak023aajkos6,0
ak023aajia5k,0
nc73923256,12
ak023aajeitd,0
nn00864371,8
ak023aaje2b5,0
ak023aajdevl,0
ak023aajd0ms,0
ak023aajcz55,0
us7000kr2z,13
ak023aaj3l92,0
uu60547457,8
uu60547452,8
av91997961,1
av91997956,1
nn00864363,2
us6000kzi6,13
nn00864370,8
av91997941,1
ak023aaivule,0
ci40534992,9
ci40534984,9
uu60547447,15
ak023aaiuozo,0
ak023aait0j3,0
ak023aaiiikr,0
ak023aaih9o6,0
nn00864360,8
ak023aaig6pv,0
ci40534976,9
av91113213,1
ci40534968,12
nm60544331,2
nc73923241,2
ci40534960,10
uw61940702,2
av91113188,1
av91997896,1
ak023aai7sde,0
nc73923236,6
hv73520617,4
av91997876,1
ak023aahsmte,0
av91997866,1
nc73923231,6
ak023aahqw8m,0
av91997851,1
nc73923226,6
ci40534944,12
ci37564604,14
nn00864485,8
ak023aahobnm,0
ak023aahlap2,0
av91997831,1
ak023aahberl,0
av91113198,1
nc73923221,2
tx2023prom,2
ci40534920,2
pr71421348,10
ak023aah4z4j,0
ak023aah3o9j,0
nc73923216,6
ak023aah1zne,0
ak023aagzmcs,0
us7000kr2v,13
nn00864480,8
uw61940672,14
ci40534904,2
ak023aagn6j3,0
nc73923211,6
us6000kzhe,13
us7000kp8k,13
ak023aagikn6,0
ak023aaghue7,0
ak023aagfzxa,0
uu60547442,8
ci40534888,14
av91997741,1
uu60547437,10
uu60547432,8
nc73923206,2
hv73520492,4
ci37528357,2
ci40534872,9
pr2023223001,10
us7000kqzv,13
us7000kp8f,13
ci40534856,2
pr71421328,10
nc73924066,6
nc73923201,10
hv73520427,4
uw61940617,10
pr71421313,10
ci40534848,10
uw61940612,15
ak023a96kg8j,0
ak023a96kb7p,0
ak023a96k23e,0
uu60547427,2
us7000kp8e,13
uw61940602,15
mb90024328,2
ci40534816,2
ak023a967tm0,0
ci40534808,9
nc73923176,6
ci40534800,2
nc73923171,6
us7000kqzw,13
ci40534784,2
us7000ktz1,2
ok2023prhf,9
ok2023prhb,9
us7000kp8i,13
nc73923166,2
us7000ktyx,5
ak023a95knar,0
ci40534720,2
nn00864348,10
av91997671,1
ci40534712,8
uw61940557,15
nn00864339,14
av91997661,1
ak023a95gmfp,0
ak023a95gm96,0
uw61940552,8
ak023a95ene0,0
ak023a95e1ih,0
hv73520247,4
us7000kp8h,13
ci40534680,2
ak023a952ge4,0
nc73923156,15
av91997636,1
ak023a94zqre,0
us7000kqzu,13
us6000kzgg,13
ci40534640,9
tx2023prdu,12
hv73520172,4
ak023a94sfi0,0
ci40534616,6
ci40534592,2
ak023a94fyml,0
ak023a94efrk,0
av91997591,1
ci40534560,8
av91997586,1
av91997581,1
ak023a94bo08,0
nn00864327,8
av91997571,1
nc73923146,6
nc73923136,6
nc73923131,6
ak023a947ml4,0
us6000kzfs,13
mb90024323,2
ak023a93wvyb,0
nc73923121,6
nc73923116,2
ci40534496,2
nc73923111,6
ak023a93tnqs,0
ok2023prao,9
nc73923096,6
nc73923086,2
nc73923091,10
ci40534448,2
nc73923076,2
ci40534424,2
us6000kzf4,13
ak023a93b0y8,0
ak023a939x8i,0
uw61940452,14
uw61940447,15
ak023a9364e3,0
nc73923056,10
ak023a933zgr,0
ak023a933rn8,0
us6000kzfp,13
hv73519832,4
ak023a932bd3,0
uu60547417,8
uw61940422,14
nc73923041,2
ak023a92q2k1,0
nc73923031,14
ak023a92ocwy,0
av91113178,1
ak023a92mlfv,0
ak023a92ihwg,0
us6000kzia,10
ci40534336,9
ak023a92h9o9,0
us7000kp89,13
uw61940412,15
av91113173,1
us7000kqzt,13
ak023a9235ev,0
nc73923011,15
ak023a922ftw,0
nc73923006,10
hv73519767,4
ak023a920jr2,0
us7000kqnr,13
us6000kz96,13
pr71421283,10
tx2023pquo,2
ak023a91xhip,0
us6000kz93,13
ok2023pqtz,9
ak023a91ve0p,0
ak023a91usow,0
ci40534256,2
ak023a91sjgq,0
nc73923001,10
us7000ktyw,2
nc73922996,6
ak023a91fzg0,0
ci40534240,8
mb90024318,2
us7000kqnq,13
ak023a91ema2,0
ak023a91dlvq,0
ak023a91bmgs,0
nn00864309,9
nc73922991,6
ak023a91b1jc,0
nc73922986,2
nc73922981,6
nc73922976,10
ak023a917nn0,0
ak023a916zjj,0
ci40534208,9
us6000kz8v,2
ak023a90x9g7,0
ak023a90v4kq,0
av91997361,1
hv73519672,4
hv73519667,4
ak023a90quva,0
nc73922966,6
ak023a90pdi9,9
us6000kz8m,13
nn00864312,10
ak023a90c49l,0
ak023a90bvpr,0
ak023a90a5nr,0
ak023a909ptv,0
nn00864325,10
ak023a909a4k,0
pr71421253,10
uw61940347,2
ak023a907qlm,0
nc73922956,6
ak023a906r1o,0
nn00864322,8
ak023a905g2i,0
ak023a904z1s,0
ak023a904khj,0
ak023a9043pk,0
nn00864320,8
hv73519592,4
ci40534128,2
nc73922951,15
ci40534112,9
hv73519577,4
av91997286,1
av91113148,1
uw61940337,2
ak023a8zokdl,0
nn00864319,8
av91997271,1
ci40534080,10
pr2023223000,13
av91997261,1
us6000kz83,13
ak023a8zknpy,0
nc73922936,6
ak023a8zhw5x,0
av91997246,1
av91997236,1
uu60547407,2
us7000kp86,13
ak023a8z3jvn,0
us7000kp85,13
ci40534072,8
ak023a8z1sh6,0
ak023a8z13l3,0
ak023a8z142b,0
nc73922931,6
av91997206,1
av91997201,1
ci37528309,2
ci40534064,2
us7000kqnn,13
hv73519452,4
nc73922926,6
av91997191,1
av91997186,1
us7000kp84,13
ci40534056,12
us6000kz7v,13
uw61940322,15
ok2023pqjo,9
ak023a8yjeef,0
pr71421218,10
ak023a8ygdcq,9
nc73922916,2
us7000kp82,13
av91997161,1
us7000kp81,13
av91997156,1
nc73922911,6
us7000kp80,13
ak023a8yajzd,0
us7000kp7z,13
ak023a8y8v4a,0
nc73922906,6
nc73922901,6
ak023a8y7f0x,0
nc73922886,12
ak023a8xxryv,0
nc73922881,6
nc73922876,2
uw61940317,15
us7000kqnl,13
ak023a8xs6nk,0
ak023a8xr3nk,0
